name
Accountant
Architect
Barangay Official
Business
Call center agent
Caregiver
Caretaker
Carpenter
Cashier/clerk
Construction worker
Cosmetologist/Beautician
Dispatcher/Barker
Doctor
Driver
Electrician
Engineer
Factory Worker
Farmer
Gardener
Fireman
Government office worker
Helper/Aide
Housewife
IT Worker
Laborer
Laundry
Lawyer
Librarian
Machinist
Manager
Supervisor
Mason
Mechanic
Mine Worker
Missionary
Nurse
OFW
Pharmacist
Plumber
Policemen
Porter
Preacher/Pastor
Priest
Professor/Instructor
Researcher
Salesperson
Seafarer
Secretary
Security Guard
Service Crew
Soldier
Student
Tailor/Sewer/Dressmaker
Teacher
Technician
Therapist
Vendor
Volunteer Woker
Welder
